,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
0,ATL03_20211226121136_00641412_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2021-22_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2021-22_1000_Peninsula_Ipp-J-138198_ATL03_20211226121136_00641412_006_01.h5-4839.log,memory usage exceeded request_memory,True
1,ATL03_20211230120315_01251412_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2021-22_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2021-22_1000_Peninsula_Ipp-J-138198_ATL03_20211230120315_01251412_006_01.h5-4841.log,memory usage exceeded request_memory,True
2,ATL03_20221224185056_00641812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20221224185056_00641812_006_01.h5-4889.log,memory usage exceeded request_memory,True
3,ATL03_20230101183418_01861812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230101183418_01861812_006_01.h5-4893.log,memory usage exceeded request_memory,True
4,ATL03_20230122172703_05061812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230122172703_05061812_006_01.h5-4906.log,memory usage exceeded request_memory,True
5,ATL03_20230126171849_05671812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230126171849_05671812_006_01.h5-4908.log,memory usage exceeded request_memory,True
6,ATL03_20230224155458_10091812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230224155458_10091812_006_01.h5-4923.log,memory usage exceeded request_memory,True
7,ATL03_20230228154624_10701812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2022-23_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2022-23_1000_Peninsula_Ipp-J-138198_ATL03_20230228154624_10701812_006_01.h5-4925.log,memory usage exceeded request_memory,True
8,ATL03_20211202222718_10911312_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2021-22_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2021-22_1000_East_Dp-E-138198_ATL03_20211202222718_10911312_006_01.h5-7576.log,memory usage exceeded request_memory,True
9,ATL03_20211214220221_12741312_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2021-22_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2021-22_1000_East_Dp-E-138198_ATL03_20211214220221_12741312_006_01.h5-7594.log,memory usage exceeded request_memory,True
10,ATL03_20220113072500_03361410_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2021-22_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2021-22_1000_East_Dp-E-138198_ATL03_20220113072500_03361410_006_01.h5-7640.log,memory usage exceeded request_memory,True
11,ATL03_20221205045820_11521712_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022-23_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022-23_1000_East_Dp-E-138198_ATL03_20221205045820_11521712_006_01.h5-7719.log,memory usage exceeded request_memory,True
12,ATL03_20221209044957_12131712_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022-23_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022-23_1000_East_Dp-E-138198_ATL03_20221209044957_12131712_006_01.h5-7725.log,memory usage exceeded request_memory,True
13,ATL03_20230107032559_02681812_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022-23_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022-23_1000_East_Dp-E-138198_ATL03_20230107032559_02681812_006_01.h5-7768.log,memory usage exceeded request_memory,True
14,ATL03_20230124022724_05271812_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022-23_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022-23_1000_East_Dp-E-138198_ATL03_20230124022724_05271812_006_01.h5-7793.log,memory usage exceeded request_memory,True
15,ATL03_20230128021853_05881812_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022-23_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022-23_1000_East_Dp-E-138198_ATL03_20230128021853_05881812_006_01.h5-7799.log,memory usage exceeded request_memory,True
16,ATL03_20230201021028_06491812_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022-23_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022-23_1000_East_Dp-E-138198_ATL03_20230201021028_06491812_006_01.h5-7805.log,memory usage exceeded request_memory,True
17,ATL03_20230202014453_06641812_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022-23_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022-23_1000_East_Dp-E-138198_ATL03_20230202014453_06641812_006_01.h5-7807.log,memory usage exceeded request_memory,True
18,ATL03_20211205131854_11311312_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20211205131854_11311312_006_01.h5-8655.log,memory usage exceeded request_memory,True
19,ATL03_20211209131037_11921312_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20211209131037_11921312_006_01.h5-8658.log,memory usage exceeded request_memory,True
20,ATL03_20211213130216_12531312_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20211213130216_12531312_006_01.h5-8661.log,memory usage exceeded request_memory,True
21,ATL03_20211217125356_13141312_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20211217125356_13141312_006_01.h5-8665.log,memory usage exceeded request_memory,True
22,ATL03_20220107114637_02471412_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20220107114637_02471412_006_01.h5-8687.log,memory usage exceeded request_memory,True
23,ATL03_20220111113818_03081412_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20220111113818_03081412_006_01.h5-8690.log,memory usage exceeded request_memory,True
24,ATL03_20220118223356_04221410_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20220118223356_04221410_006_01.h5-8697.log,memory usage exceeded request_memory,True
25,ATL03_20220122222536_04831410_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20220122222536_04831410_006_01.h5-8702.log,memory usage exceeded request_memory,True
26,ATL03_20220126221715_05441410_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20220126221715_05441410_006_01.h5-8707.log,memory usage exceeded request_memory,True
27,ATL03_20220220210139_09251410_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20220220210139_09251410_006_01.h5-8732.log,memory usage exceeded request_memory,True
28,ATL03_20220224205325_09861410_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2021-22_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2021-22_1000_Peninsula_I-Ipp-138198_ATL03_20220224205325_09861410_006_01.h5-8737.log,memory usage exceeded request_memory,True
29,ATL03_20221207194954_11921712_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20221207194954_11921712_006_01.h5-8749.log,memory usage exceeded request_memory,True
30,ATL03_20221211194134_12531712_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20221211194134_12531712_006_01.h5-8752.log,memory usage exceeded request_memory,True
31,ATL03_20221216190734_13291712_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20221216190734_13291712_006_01.h5-8758.log,memory usage exceeded request_memory,True
32,ATL03_20221224185056_00641812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20221224185056_00641812_006_01.h5-8767.log,memory usage exceeded request_memory,True
33,ATL03_20221228184239_01251812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20221228184239_01251812_006_01.h5-8771.log,memory usage exceeded request_memory,True
34,ATL03_20230105182553_02471812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20230105182553_02471812_006_01.h5-8778.log,memory usage exceeded request_memory,True
35,ATL03_20230109181735_03081812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20230109181735_03081812_006_01.h5-8781.log,memory usage exceeded request_memory,True
36,ATL03_20230113180917_03691812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20230113180917_03691812_006_01.h5-8785.log,memory usage exceeded request_memory,True
37,ATL03_20230114174339_03841812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20230114174339_03841812_006_01.h5-8787.log,memory usage exceeded request_memory,True
38,ATL03_20230117180055_04301812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20230117180055_04301812_006_01.h5-8789.log,memory usage exceeded request_memory,True
39,ATL03_20230203170201_06891812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20230203170201_06891812_006_01.h5-8806.log,memory usage exceeded request_memory,True
40,ATL03_20230211164520_08111812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20230211164520_08111812_006_01.h5-8812.log,memory usage exceeded request_memory,True
41,ATL03_20230216161125_08871812_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_I-Ipp.geojson,AIS_2022-23_1000_Peninsula_I-Ipp,geojsons/ANT_1000_Peninsula_I-Ipp.geojson,logs/job_AIS_2022-23_1000_Peninsula_I-Ipp-138198_ATL03_20230216161125_08871812_006_01.h5-8817.log,memory usage exceeded request_memory,True
42,ATL03_20211209223038_11981311_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2021-22_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2021-22_1000_East_E-Ep-138198_ATL03_20211209223038_11981311_006_01.h5-8875.log,memory usage exceeded request_memory,True
43,ATL03_20211213222217_12591311_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2021-22_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2021-22_1000_East_E-Ep-138198_ATL03_20211213222217_12591311_006_01.h5-8894.log,memory usage exceeded request_memory,True
44,ATL03_20211217221357_13201311_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2021-22_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2021-22_1000_East_E-Ep-138198_ATL03_20211217221357_13201311_006_01.h5-8913.log,memory usage exceeded request_memory,True
45,ATL03_20220115205000_03751411_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2021-22_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2021-22_1000_East_E-Ep-138198_ATL03_20220115205000_03751411_006_01.h5-9052.log,memory usage exceeded request_memory,True
46,ATL03_20221204051816_11371711_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2022-23_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2022-23_1000_East_E-Ep-138198_ATL03_20221204051816_11371711_006_01.h5-9286.log,memory usage exceeded request_memory,True
47,ATL03_20221208050954_11981711_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2022-23_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2022-23_1000_East_E-Ep-138198_ATL03_20221208050954_11981711_006_01.h5-9306.log,memory usage exceeded request_memory,True
48,ATL03_20221212050136_12591711_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2022-23_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2022-23_1000_East_E-Ep-138198_ATL03_20221212050136_12591711_006_01.h5-9325.log,memory usage exceeded request_memory,True
49,ATL03_20221216045313_13201711_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2022-23_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2022-23_1000_East_E-Ep-138198_ATL03_20221216045313_13201711_006_01.h5-9343.log,memory usage exceeded request_memory,True
50,ATL03_20230102035418_01921811_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2022-23_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2022-23_1000_East_E-Ep-138198_ATL03_20230102035418_01921811_006_01.h5-9420.log,memory usage exceeded request_memory,True
51,ATL03_20230114032919_03751811_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2022-23_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2022-23_1000_East_E-Ep-138198_ATL03_20230114032919_03751811_006_01.h5-9477.log,memory usage exceeded request_memory,True
52,ATL03_20230118032055_04361811_006_01.h5,geojsons/simplified_ANT_1000_East_E-Ep.geojson,AIS_2022-23_1000_East_E-Ep,geojsons/ANT_1000_East_E-Ep.geojson,logs/job_AIS_2022-23_1000_East_E-Ep-138198_ATL03_20230118032055_04361811_006_01.h5-9497.log,memory usage exceeded request_memory,True
